sample,group,Treatment,Niche,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,EMF
N2.N.1,N2.N,N2,Nodule,1.353230692,1.151430636,28.74351156,11.32416185,18.58348131,22.78202996,167.8111371,1.174960506,31.8,20.22116904,94,7.54,0.339141197,0.676292854,0.003382716,0.259890157,0.004557887,0.008131,0.004070004,0.091038462,0.008537377
N2.N.2,N2.N,N2,Nodule,1.336027092,1.352138728,29.74705202,12.42277457,18.19019675,23.17222252,155.4461059,1.201641266,31,20.63305979,94,7.55,0.292128354,0.736967397,0.003039753,0.256970227,0.005713409,0.008920349,0.004742394,0.077593957,0.025622568
N2.N.3,N2.N,N2,Nodule,1.323506093,1.352138728,29.03929191,12.59179191,18.24356556,23.5883546,151.9132399,1.209072978,31.6,19.72386588,93,7.6,6.530287116,0.431430014,0.00193455,0.256237442,0.003230583,0.010934601,0.01558906,0.056455119,0.046004485
N2.N.4,N2.N,N2,Nodule,1.332627094,1.172557803,28.83858382,12.42277457,18.26255202,23.19222418,158.9789719,1.191860465,31.9,19.68992248,94,7.57,3.179865286,0.548734399,0.001688613,0.239202844,0.003503789,0.006638888,0.01096452,0.05010226,-0.11171926
N2.N.5,N2.N,N2,Nodule,1.335964507,1.225375723,29.55690751,11.15514451,18.40659618,23.75616884,176.6433022,1.158346334,32.3,19.50078003,95,7.53,5.821136861,2.07726536,0.001812416,0.25831144,0.003716222,0.02501296,0.024350054,0.098389434,0.405291893
N4.N.1,N4.N,N4,Nodule,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,0.380362612
N4.N.2,N4.N,N4,Nodule,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,0.346804875
N4.N.3,N4.N,N4,Nodule,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,0.349487587
N4.N.4,N4.N,N4,Nodule,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,0.313241371
N4.N.5,N4.N,N4,Nodule,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,0.367047909
N6.N.1,N6.N,N6,Nodule,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,0.605179517
N6.N.2,N6.N,N6,Nodule,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,0.561954175
