sample,EMF_MFS,EMF_RZS,deltaEMF,Niche,treatment,group,Nitrogen,NicheSelc,richness_RHI,PCoA1_RHI,richness_AMF,PCoA1_AMF,nifH,Anammox_Bacteria,hzsB,amoA_archaea,amoA_becteria,nxrA,comammoxA,napA,nirS,nirK,qnorB,nosZ,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,Ngenes
N4.RH.5,0.367047909,0.593167243,0.195226282,Rhizosphere,N4,N4.RH,400,2,619,0.273672006,324,-0.324539479,1922.897197,220246403.2,41302.5255,99177237.42,2555490368,111327.2197,1053522.106,789572.5704,4726106.58,12814862.57,88261.44303,599204.9758,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,0.440376482
N4.Z.1,0.380362612,0.47599042,0.005224296,Rootzone,N4,N4.Z,400,1,464,0.360141269,785,-0.323518685,11754159.62,302305108.5,232896.6815,136157013.5,5306242622,81836.53894,1775895.036,609139.8795,3027430.531,2693276.207,164421.8537,141193.2641,1.561654812,1.232948718,21.47211538,13.12358974,19.15786409,25.80377952,160.7447234,1.271186441,41.9,20.17362547,123,7.86,4.108568044,1.331297564,0.00418771,0.263716822,0.015249289,0.011068058,0.01508884,0.056140094,0.474565943
N4.Z.2,0.346804875,0.598666075,0.312625835,Rootzone,N4,N4.Z,400,1,400,0.348481003,434,-0.314946489,5662088.114,313905628.5,219186.7867,132548094.1,4852126853,70638.13055,1856333.483,570423.4587,2927883.437,2765724.831,189462.7173,136219.5404,1.55946762,1.138910256,21.63929487,12.53846154,19.20727396,25.00745019,167.7336244,1.271699637,41.4,19.86273718,122,7.88,3.636381993,1.089358518,0.004834317,0.268866975,0.009142811,0.01164381,0.014171332,0.072393956,0.404680605
N4.Z.3,0.349487587,0.582572982,0.192544952,Rootzone,N4,N4.Z,400,1,371,0.342373489,526,-0.364758414,6411558.54,300683965.7,228150.8203,129836893.8,4239320550,78385.76395,1869207.245,604157.59,3420709.82,2860103.127,183460.2648,144062.2033,1.583918786,1.337435897,21.4825641,13.04,19.12223482,25.44755918,169.4808497,1.266474465,42.9,20.09884679,120,7.89,4.073610819,0.603639695,0.004952588,0.264363298,0.007429175,0.01145878,0.01719813,0.062067138,0.428871529
N4.Z.4,0.313241371,0.584339405,0.310202526,Rootzone,N4,N4.Z,400,1,355,0.356374597,323,-0.346877133,6033043.871,327445303,239220.6333,136686790.5,3854498348,80922.11664,1901687.876,582769.3101,3666802.595,2962182.694,217911.9999,158094.9948,1.564406013,1.358333333,21.14820513,12.95641026,19.15993357,24.98855023,158.9974981,1.234817814,42.6,19.91902834,124,7.9,4.025937186,0.914818059,0.004446604,0.26623426,0.012520744,0.010766997,0.01666071,0.052044188,0.492429168
N4.Z.5,0.367047909,0.593167243,0.195226282,Rootzone,N4,N4.Z,400,1,422,0.362885701,383,-0.318622612,7926363.836,361532220.1,254224.4932,127286373.9,5450959666,72289.09148,2161423.089,658476.6345,4125035.008,3371409.697,171862.1539,182657.9683,1.528199172,1.337435897,21.44076923,12.28769231,19.08560658,25.35328211,190.4475527,1.233416252,44.6,20.23217247,124,7.87,3.492433289,1.264478044,0.004549145,0.258807098,0.008894302,0.010083438,0.015274891,0.058285824,0.510082805
N6.N.1,0.605179517,0.172553055,-0.532806408,Nodule,N6,N6.N,600,4,53,-0.530372999,60,0.049561129,58034980.1,335646.2449,15648.1805,176953.0725,40089794.42,12269.63535,2080482.706,415074.6321,1483416.55,391948450.5,0,45099.98139,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,-0.32858463
N6.N.2,0.561954175,0.098425858,-0.541637696,Nodule,N6,N6.N,600,4,34,-0.530944528,63,0.038618156,632826.2082,501733.6068,210410.9391,197566.7169,56809057.45,13446.46635,1566432.717,346957.4608,5493455.199,1799448640,0,47945.2147,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,-0.044709487
N6.N.3,0.604380524,0.118523479,-0.603107976,Nodule,N6,N6.N,600,4,52,-0.530256437,93,0.025205205,1480.172874,784497.6006,23216.38573,348326.0379,7954519.856,8457.035251,2536950.018,561098.7086,2608917.387,288521201,0,48053.68306,1.553301085,1.1775,20.0175,12.53196429,19.01136703,24.62158392,165.2557727,1.186198448,38.1,20.08983258,104,7.53,4.650908295,1.894211602,0.008269526,0.316867617,0.023316737,0.017839606,0.022626693,0.077561432,-0.529974765
N6.N.4,0.612689452,0.14366486,-0.629317472,Nodule,N6,N6.N,600,4,101,-0.52849622,109,0.008215028,182.8469568,1412762.202,66007.58731,1009053.935,16933376.52,17387.01799,11414731.09,542672.4589,2965556.852,141481330.8,0,63022.34739,1.517649001,1.188013393,19.69158482,13.03660714,18.27470565,24.6026169,151.1914516,1.171171171,39.4,20.14742015,104,7.52,5.052039623,1.983913891,0.008947777,0.315057254,0.024164691,0.019458845,0.027772187,0.069987572,-0.445997507
N6.N.5,0.670505282,0.256807978,-0.326083902,Nodule,N6,N6.N,600,4,116,-0.527637758,81,0.010882857,1069.367863,1969613.749,70474.8296,1180422.408,20076456.96,25084.3742,10920403.78,1532231.238,3484696.06,344391108.6,0,106020.3423,1.492331034,1.293147321,20.17520089,11.35446429,18.17473197,23.64314878,186.3522543,1.195562859,38,20.37797864,104,7.51,5.690345243,2.152451589,0.008294199,0.308932288,0.023835281,0.016678912,0.039323248,0.061979895,-0.078497342
N6.R.1,0.605179517,0.172553055,-0.532806408,Root,N6,N6.R,600,3,570,0.064276561,103,0.025705206,23981.46703,4364257.642,25118.91041,951111.0957,22416916.37,6213.662986,38693473.6,151119.5158,23981.46703,1830860.723,653.8105849,151051.5814,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,-0.527179265
N6.R.2,0.561954175,0.098425858,-0.541637696,Root,N6,N6.R,600,3,254,-0.164229189,126,0.020835731,30444.14102,474814.8085,36329.00921,552716.4166,479894599.9,22401.22292,35467605.74,322184.2197,30444.14102,730725.0081,772.4678691,82057.89129,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,-0.458873423
N6.R.3,0.604380524,0.118523479,-0.603107976,Root,N6,N6.R,600,3,537,0.074618183,182,0.007063981,40765.22687,1838272.029,44114.34134,1016701.51,53614284.91,5304.773605,11916362.5,220919.6047,40765.22687,1074094.44,375.4041562,31937.03089,1.553301085,1.1775,20.0175,12.53196429,19.01136703,24.62158392,165.2557727,1.186198448,38.1,20.08983258,104,7.53,4.650908295,1.894211602,0.008269526,0.316867617,0.023316737,0.017839606,0.022626693,0.077561432,-0.727838685
N6.R.4,0.612689452,0.14366486,-0.629317472,Root,N6,N6.R,600,3,607,-0.175227835,229,-0.001599493,40628.07032,9264760.945,35485.32775,1902029.501,48534057.26,8297.939911,11956419.39,430677.196,40628.07032,1692639.857,1941.339388,71722.04025,1.517649001,1.188013393,19.69158482,13.03660714,18.27470565,24.6026169,151.1914516,1.171171171,39.4,20.14742015,104,7.52,5.052039623,1.983913891,0.008947777,0.315057254,0.024164691,0.019458845,0.027772187,0.069987572,-0.648236241
N6.R.5,0.670505282,0.256807978,-0.326083902,Root,N6,N6.R,600,3,401,-0.290864277,296,0.006668146,41559.59177,17948501.33,48982.78225,1658499.394,76319563.36,24243.10342,11368796.1,571760.3749,41559.59177,2678838.706,1007.42791,155525.118,1.492331034,1.293147321,20.17520089,11.35446429,18.17473197,23.64314878,186.3522543,1.195562859,38,20.37797864,104,7.51,5.690345243,2.152451589,0.008294199,0.308932288,0.023835281,0.016678912,0.039323248,0.061979895,-0.533526579
N6.RH.1,0.605179517,0.172553055,-0.532806408,Rhizosphere,N6,N6.RH,600,2,655,0.210889206,373,-0.319298617,1731.08445,225400313.8,82773.00303,67720150.76,7681332531,113951.6771,1549295.623,816358.0843,3593977.468,14877505.88,104363.0259,482641.3509,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,0.549514948
N6.RH.2,0.561954175,0.098425858,-0.541637696,Rhizosphere,N6,N6.RH,600,2,501,-0.217198884,357,-0.342169355,4788.180262,323687978.5,112868.9549,92540010.27,2514594539,85003.73154,829552.8042,577328.1709,3028698.432,26415964.04,117403.8686,513340.0686,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,0.26215873
N6.RH.3,0.604380524,0.118523479,-0.603107976,Rhizosphere,N6,N6.RH,600,2,685,-0.067255413,560,-0.354629051,693.4157079,314067005,28220.09385,84812934.06,2166094311,49312.16747,236177.8694,352946.3804,3688734.9,6965932.391,200568.27,327617.8975,1.553301085,1.1775,20.0175,12.53196429,19.01136703,24.62158392,165.2557727,1.186198448,38.1,20.08983258,104,7.53,4.650908295,1.894211602,0.008269526,0.316867617,0.023316737,0.017839606,0.022626693,0.077561432,0.104993996
N6.RH.4,0.612689452,0.14366486,-0.629317472,Rhizosphere,N6,N6.RH,600,2,564,0.234599907,412,-0.362128049,417.0752882,177046531.8,31506.39027,56526788.54,3905329281,93829.47183,966157.3185,1066184.734,3274876.298,10811641.37,82561.5796,288146.4848,1.517649001,1.188013393,19.69158482,13.03660714,18.27470565,24.6026169,151.1914516,1.171171171,39.4,20.14742015,104,7.52,5.052039623,1.983913891,0.008947777,0.315057254,0.024164691,0.019458845,0.027772187,0.069987572,0.258613079
N6.RH.5,0.670505282,0.256807978,-0.326083902,Rhizosphere,N6,N6.RH,600,2,428,0.195234447,330,-0.315446521,961.4473958,99954299.54,24852.22363,38346213.99,2906456065,99643.49046,1180881.005,899874.0247,5661478.839,8269652.401,94309.10695,341281.0117,1.492331034,1.293147321,20.17520089,11.35446429,18.17473197,23.64314878,186.3522543,1.195562859,38,20.37797864,104,7.51,5.690345243,2.152451589,0.008294199,0.308932288,0.023835281,0.016678912,0.039323248,0.061979895,0.287547726
N6.Z.1,0.605179517,0.172553055,-0.532806408,Rootzone,N6,N6.Z,600,1,291,0.317781211,334,-0.211468252,2183.297511,296110593.8,195707.1812,101806184.5,12303583460,96789.72656,2908185.697,576213.305,2434928.055,2843902.02,203038.5599,137758.9095,1.570665246,1.461361607,20.04904018,12.61607143,18.77264166,23.76030191,165.2557727,1.217228464,38.6,20.47440699,105,7.55,4.786141983,1.970995206,0.008293104,0.314190196,0.024717205,0.014666409,0.023240884,0.067451049,0.686759843
N6.Z.2,0.561954175,0.098425858,-0.541637696,Rootzone,N6,N6.Z,600,1,295,0.303918502,107,0.028742138,1195.444813,331660699.2,147444.098,96897068.85,12446662149,66122.89036,1924003.976,616557.2589,2432867.219,4204641.77,271598.487,167913.6602,1.497297293,1.198526786,20.02801339,12.53196429,18.00324941,24.58651044,165.2557727,1.194241687,38,20.2757502,105,7.58,5.183290494,1.945427345,0.008853039,0.319892395,0.023104895,0.016878138,0.024000338,0.057117767,0.683645285
N6.Z.3,0.604380524,0.118523479,-0.603107976,Rootzone,N6,N6.Z,600,1,218,0.263169587,446,-0.299987014,320.2273001,291369422.6,23086.66541,102062367.5,3428212890,43253.13846,1020088.165,694433.1169,3779768.376,1582234.826,135958.5746,94837.93101,1.553301085,1.1775,20.0175,12.53196429,19.01136703,24.62158392,165.2557727,1.186198448,38.1,20.08983258,104,7.53,4.650908295,1.894211602,0.008269526,0.316867617,0.023316737,0.017839606,0.022626693,0.077561432,0.093061783
N6.Z.4,0.612689452,0.14366486,-0.629317472,Rootzone,N6,N6.Z,600,1,176,0.213008077,503,-0.328360858,202.6468781,273906351.9,23136.43325,111681299.1,4131290474,48342.16457,880519.9795,891671.5195,3500743.568,1548194.526,90406.05299,88119.34422,1.517649001,1.188013393,19.69158482,13.03660714,18.27470565,24.6026169,151.1914516,1.171171171,39.4,20.14742015,104,7.52,5.052039623,1.983913891,0.008947777,0.315057254,0.024164691,0.019458845,0.027772187,0.069987572,0.128384265
N6.Z.5,0.670505282,0.256807978,-0.326083902,Rootzone,N6,N6.Z,600,1,231,0.275553357,564,-0.330138938,327.5326229,283451504.8,22952.29197,101899799.3,4375552504,46525.17572,889876.1382,858332.9719,3931268.271,1994669.133,106714.4909,117804.761,1.492331034,1.293147321,20.17520089,11.35446429,18.17473197,23.64314878,186.3522543,1.195562859,38,20.37797864,104,7.51,5.690345243,2.152451589,0.008294199,0.308932288,0.023835281,0.016678912,0.039323248,0.061979895,0.15548781
