"source","target","correlation","direct","cor"
"fun_ASV_343","bac_ASV_4633",0.833411114786589,"undirected","+"
"fun_ASV_242","bac_ASV_4633",0.996108949416342,"undirected","+"
"fun_ASV_608","bac_ASV_3818",0.837350191205426,"undirected","+"
"fun_ASV_1345","bac_ASV_3818",0.806209068392001,"undirected","+"
"fun_ASV_6","bac_ASV_341",0.837244869783242,"undirected","+"
"fun_ASV_246","bac_ASV_379",0.945142857142857,"undirected","+"
"fun_ASV_70","bac_ASV_356",-0.811824962426492,"undirected","-"
"fun_ASV_70","bac_ASV_315",-0.830667673312887,"undirected","-"
"fun_ASV_915","bac_ASV_431",0.994459833795014,"undirected","+"
"fun_ASV_719","bac_ASV_501",0.854650814990662,"undirected","+"
"fun_ASV_479","bac_ASV_1374",0.838054073643339,"undirected","+"
"fun_ASV_70","bac_ASV_328",0.874775176029766,"undirected","+"
"fun_ASV_915","bac_ASV_1073",0.833411114786589,"undirected","+"
"fun_ASV_246","bac_ASV_1011",0.826974451773901,"undirected","+"
"fun_ASV_242","bac_ASV_3732",0.833411114786589,"undirected","+"
"fun_ASV_1616","bac_ASV_2115",0.994459833795014,"undirected","+"
"fun_ASV_242","bac_ASV_1379",0.833411114786589,"undirected","+"
"fun_ASV_2522","bac_ASV_3164",1,"undirected","+"
"fun_ASV_18","bac_ASV_1255",0.838054073643339,"undirected","+"
"fun_ASV_303","bac_ASV_1186",0.813847509649415,"undirected","+"
"fun_ASV_122","bac_ASV_1410",0.881565272537171,"undirected","+"
"fun_ASV_1062","bac_ASV_2000",0.833411114786589,"undirected","+"
"fun_ASV_281","bac_ASV_1954",0.818654112798227,"undirected","+"
"fun_ASV_253","bac_ASV_2015",0.838054073643339,"undirected","+"
"fun_ASV_177","bac_ASV_3002",0.994459833795014,"undirected","+"
"fun_ASV_1651","bac_ASV_2743",0.994459833795014,"undirected","+"
"fun_ASV_1207","bac_ASV_2056",0.838054073643339,"undirected","+"
"fun_ASV_2343","bac_ASV_2071",0.863652768128548,"undirected","+"
"fun_ASV_833","bac_ASV_3661",1,"undirected","+"
"fun_ASV_470","bac_ASV_4031",0.838054073643339,"undirected","+"
"fun_ASV_253","bac_ASV_2198",1,"undirected","+"
"fun_ASV_1191","bac_ASV_4640",1,"undirected","+"
"fun_ASV_672","bac_ASV_3019",0.833411114786589,"undirected","+"
"fun_ASV_1954","bac_ASV_4817",1,"undirected","+"
"fun_ASV_1243","bac_ASV_555",0.833411114786589,"undirected","+"
"fun_ASV_1191","bac_ASV_3902",0.833411114786589,"undirected","+"
"fun_ASV_1272","bac_ASV_3057",0.838054073643339,"undirected","+"
"fun_ASV_652","bac_ASV_2097",0.804310234145711,"undirected","+"
"fun_ASV_332","bac_ASV_2853",0.886268879896235,"undirected","+"
"fun_ASV_593","bac_ASV_1438",0.854650814990662,"undirected","+"
"fun_ASV_997","bac_ASV_2199",0.833411114786589,"undirected","+"
"fun_ASV_1272","bac_ASV_3657",0.994459833795014,"undirected","+"
"fun_ASV_18","bac_ASV_2159",0.833411114786589,"undirected","+"
"fun_ASV_2750","bac_ASV_6409",0.994459833795014,"undirected","+"
"fun_ASV_927","bac_ASV_4522",0.838054073643339,"undirected","+"
"fun_ASV_997","bac_ASV_2707",1,"undirected","+"
"fun_ASV_514","bac_ASV_2724",0.818181818181818,"undirected","+"
"fun_ASV_69","bac_ASV_4792",1,"undirected","+"
"fun_ASV_366","bac_ASV_4792",1,"undirected","+"
"fun_ASV_269","bac_ASV_4792",1,"undirected","+"
"fun_ASV_625","bac_ASV_4792",1,"undirected","+"
"fun_ASV_948","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1077","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1226","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1617","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1859","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1287","bac_ASV_4792",1,"undirected","+"
"fun_ASV_414","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1069","bac_ASV_4792",1,"undirected","+"
"fun_ASV_1388","bac_ASV_4792",1,"undirected","+"
"fun_ASV_2430","bac_ASV_4792",1,"undirected","+"
