"source","target","correlation","direct","cor"
"fun_ASV_231","bac_ASV_3636",1,"undirected","+"
"fun_ASV_666","bac_ASV_1874",0.858110939747709,"undirected","+"
"fun_ASV_514","bac_ASV_1276",0.994459833795014,"undirected","+"
"fun_ASV_1672","bac_ASV_1917",1,"undirected","+"
"fun_ASV_1125","bac_ASV_2997",0.820786007635163,"undirected","+"
"fun_ASV_470","bac_ASV_2002",0.885791937804087,"undirected","+"
"fun_ASV_400","bac_ASV_2739",0.994459833795014,"undirected","+"
"fun_ASV_129","bac_ASV_1934",0.838442489788632,"undirected","+"
"fun_ASV_457","bac_ASV_2261",0.850931205259224,"undirected","+"
"fun_ASV_2841","bac_ASV_5467",1,"undirected","+"
"fun_ASV_1392","bac_ASV_5409",0.833411114786589,"undirected","+"
"fun_ASV_1305","bac_ASV_8945",0.833411114786589,"undirected","+"
"fun_ASV_417","bac_ASV_2738",0.838054073643339,"undirected","+"
"fun_ASV_142","bac_ASV_4640",0.893518594617484,"undirected","+"
"fun_ASV_407","bac_ASV_1060",0.809669193149048,"undirected","+"
"fun_ASV_1413","bac_ASV_2800",0.838054073643339,"undirected","+"
"fun_ASV_2841","bac_ASV_2772",1,"undirected","+"
"fun_ASV_1002","bac_ASV_3902",0.890509400852676,"undirected","+"
"fun_ASV_145","bac_ASV_3631",0.994459833795014,"undirected","+"
"fun_ASV_60","bac_ASV_2853",0.885791937804087,"undirected","+"
"fun_ASV_1175","bac_ASV_3657",0.841787931149694,"undirected","+"
"fun_ASV_678","bac_ASV_6508",0.875411563532945,"undirected","+"
"fun_ASV_1465","bac_ASV_6409",1,"undirected","+"
"fun_ASV_1649","bac_ASV_4768",0.802597402597403,"undirected","+"
"fun_ASV_457","bac_ASV_5535",0.858020756268283,"undirected","+"
"fun_ASV_2841","bac_ASV_2724",1,"undirected","+"
"fun_ASV_1922","bac_ASV_9121",0.850931205259224,"undirected","+"
"fun_ASV_785","bac_ASV_3599",0.833411114786589,"undirected","+"
"fun_ASV_678","bac_ASV_3707",0.838054073643339,"undirected","+"
"fun_ASV_45","bac_ASV_1909",0.830184973620854,"undirected","+"
"fun_ASV_43","bac_ASV_1909",0.831123566315891,"undirected","+"
"fun_ASV_78","bac_ASV_1909",0.814328004316541,"undirected","+"
"fun_ASV_70","bac_ASV_1909",-0.86331287450433,"undirected","-"
"fun_ASV_221","bac_ASV_1909",0.807205568462455,"undirected","+"
"fun_ASV_233","bac_ASV_1909",0.924463519313305,"undirected","+"
"fun_ASV_261","bac_ASV_1909",0.826357922920205,"undirected","+"
"fun_ASV_479","bac_ASV_1909",0.870669847197455,"undirected","+"
"fun_ASV_381","bac_ASV_1909",0.869208669744847,"undirected","+"
"fun_ASV_309","bac_ASV_1909",0.86515303210935,"undirected","+"
"fun_ASV_584","bac_ASV_1909",0.884978540772532,"undirected","+"
"fun_ASV_510","bac_ASV_1909",0.80193355081419,"undirected","+"
"fun_ASV_592","bac_ASV_1909",0.864997387430192,"undirected","+"
"fun_ASV_278","bac_ASV_1909",0.896965459929586,"undirected","+"
"fun_ASV_926","bac_ASV_1909",0.823175965665236,"undirected","+"
