ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1014	Fungi	Glomeromycota	Glomeromycetes				
ASV_10141	Fungi	Glomeromycota	Glomeromycetes				
ASV_10142	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10143	Fungi	Glomeromycota	Glomeromycetes				
ASV_10144	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10145	Fungi	Glomeromycota	Glomeromycetes				
ASV_10146	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10147	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10148	Fungi	Glomeromycota	Glomeromycetes				
ASV_10149	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10150	Fungi	Glomeromycota	Glomeromycetes				
ASV_1015	Fungi	Glomeromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Glom_1B13
ASV_10151	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10152	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10153	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10154	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10155	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10156	Fungi	Glomeromycota	Glomeromycetes				
ASV_10157	Fungi	Glomeromycota	Glomeromycetes				
ASV_10158	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10159	Fungi	Glomeromycota	Glomeromycetes				
ASV_1016	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	
ASV_10160	Fungi	Glomeromycota	Glomeromycetes				
ASV_10161	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV_10162	Fungi	Glomeromycota	Glomeromycetes	Glomerales			
ASV_10163	Fungi	Glomeromycota	Glomeromycetes				
ASV_10164	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
