"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"Root_vs_Rhizosphere","Stochasticity","0.800615304","0.798004351","0.027985307","0.694826673","0.786812593","0.797932016","0.816702696","0.86843124","0.747278795","0.786812593","0.797932016","0.816702696","0.85049362","0.86843124","0.72393916","0.7388250","0.6948267","0.7355756",NA
"Root_vs_Rootzone","Heterogeneous.Selection","0.020360836","0.02024062","0.002861519","0.0129523713","0.018434359","0.020021585","0.02199817","0.028072157","0.0138153005","0.018434359","0.020021585","0.02199817","0.02725975","0.012952371","0.028072157",NA,NA,NA,NA
"Root_vs_Rootzone","Homogeneous.Selection","0.147449642","0.14666789","0.022640082","0.1030624411","0.130636731","0.143033349","0.16124619","0.202655106","0.1030624411","0.130636731","0.143033349","0.16124619","0.20265511",NA,NA,NA,NA,NA,NA
"Root_vs_Rootzone","Dispersal.Limitation","0.282650878","0.28561417","0.026153211","0.2221353541","0.267922186","0.287458969","0.30483802","0.346591400","0.2221353541","0.267922186","0.287458969","0.30483802","0.34659140",NA,NA,NA,NA,NA,NA
"Root_vs_Rootzone","Homogenizing.Dispersal","0.002139553","0.00218162","0.000982611","0.0006492666","0.001443432","0.001991777","0.00274537","0.006565537","0.0006492666","0.001443432","0.001991777","0.00274537","0.00401527","0.005231635","0.006565537",NA,NA,NA,NA
"Root_vs_Rootzone","Drift.and.Others","0.547399092","0.54529569","0.024460827","0.4660806226","0.530635156","0.546945478","0.55819925","0.627827342","0.4999363220","0.530635156","0.546945478","0.55819925","0.59863658","0.627827342","0.466080623",NA,NA,NA,NA
"Root_vs_Rootzone","Stochasticity","0.832189522","0.83309148","0.023378192","0.7740690439","0.817824262","0.834124066","0.84995492","0.880263087","0.7740690439","0.817824262","0.834124066","0.84995492","0.88026309",NA,NA,NA,NA,NA,NA
"Root_vs_Original","Heterogeneous.Selection","0.029109732","0.029335406","0.003653658","0.020941776","0.026804706","0.029715544","0.032064466","0.03688991","0.020941776","0.026804706","0.029715544","0.032064466","0.036889914",NA,NA,NA,NA,NA,NA
"Root_vs_Original","Homogeneous.Selection","0.111257980","0.111423782","0.014034438","0.083808623","0.101117751","0.109782396","0.121482379","0.15880461","0.083808623","0.101117751","0.109782396","0.121482379","0.146179439","0.15880461",NA,NA,NA,NA,NA
"Root_vs_Original","Dispersal.Limitation","0.395474018","0.395939766","0.025031663","0.302623845","0.382138926","0.395705655","0.409170796","0.45564297","0.345430113","0.382138926","0.395705655","0.409170796","0.443579421","0.45564297","0.453500701","0.454306","0.3026238","0.4524722",NA
